Oil_Price,Imports,Production,GDP,SP500,Stock_value,Treasury_note, Y_n_1
-0.563134562,1.353673404,-0.569393364,-0.23395003,0.105643813,-0.360931489,0.034185409,-0.585806387
-0.589678457,1.363258848,-0.629951196,-0.257952214,0.176813381,-0.455187768,-0.240040416,-0.58907836
-0.592955481,1.096428069,-0.647586881,-0.276620579,0.239416242,-0.517022958,-0.63349486,-0.67251365
-0.676519595,1.462532822,-0.497268597,-0.3112904,0.215693052,-0.603793756,-0.502343379,-0.670550467
-0.67455338,1.00714342,-0.595665348,-0.3112904,0.20317248,-0.66027075,-0.257924709,-0.495827153
-0.499560294,0.688319681,-0.384737362,-0.332625675,0.194605773,-0.66567693,-0.347346174,-0.419917398
-0.423533336,-0.623378427,-0.85122718,-0.327291856,0.230190557,-0.66567693,-0.293693295,-0.514150197
-0.517911629,0.193673036,-0.423509935,-0.353960949,0.425906869,-0.66567693,-0.20427183,-0.628342026
-0.63227977,0.283873148,-0.45048216,-0.353960949,0.502348257,-0.668172091,-0.216194692,-0.73010036
-0.734195218,0.786031981,-0.675233412,-0.372629314,0.465445518,-0.719226909,-0.20427183,-0.648628253
-0.652597319,0.943734088,-0.742689909,-0.38863077,0.281590801,-0.819625121,-0.26388614,-0.621798081
-0.625725721,0.093672076,-0.84043829,-0.385963861,0.258526589,-0.857948223,-0.311577588,-0.663352128
-0.667343927,0.954342698,-0.390883917,-0.396631498,0.432496644,-0.937361498,-0.085043211,-0.709814133
-0.713877669,0.653693608,-0.427063007,-0.385963861,0.49378155,-0.997293328,0.147452597,-0.757257729
-0.761394518,0.519335829,-0.472267419,-0.404632226,0.853583255,-1.030290224,0.320334095,-0.707523752
-0.711583752,0.769957514,-0.303042642,-0.423300591,1.083566396,-1.113366265,0.463408439,-0.735662713
-0.739766159,0.500649597,-0.503363282,-0.423300591,1.241720992,-1.185581962,0.481292732,-0.789650253
-0.793837056,0.332554283,-0.318525737,-0.433968229,1.432824462,-1.26964967,0.540907041,-0.914312393
-0.918691674,-0.412929449,-0.780010132,-0.452636594,1.29180328,-1.294201407,0.308411233,-0.947032115
-0.951461915,0.256732338,-0.328484712,-0.441968956,1.397239677,-1.379836587,0.385909836,-0.957829623
-0.962276094,0.365914862,-0.31720306,-0.455303503,1.410419227,-1.44950914,0.415716991,-0.949649692
-0.954083534,0.515997079,-0.474627489,-0.497974052,1.22920042,-1.496149444,0.16533689,-0.866868797
-0.871174825,0.675853218,-0.430849493,-0.484639505,0.972199202,-1.529994054,0.10572258,-0.735008318
-0.739110754,0.531829218,-0.608736503,-0.516642417,0.786367552,-1.537175637,0.201105476,-0.696726244
-0.700769573,0.819607963,-0.44747372,-0.471304959,0.848970413,-1.553586114,0.344179819,-0.727482782
-0.731573599,0.961154826,-0.428800641,-0.497974052,0.691474794,-1.553586114,0.505138455,-0.689200708
-0.693232417,0.342759013,-0.56454355,-0.497974052,0.573517825,-1.561007616,0.528984179,-0.655499395
-0.659479069,1.239105798,-0.363859822,-0.484639505,0.464786541,-1.561007616,0.600521351,-0.692799877
-0.696837144,1.154829276,-0.489202864,-0.50597478,0.197241683,-1.575722664,0.445524146,-0.70065261
-0.704702002,1.003050759,-0.322934658,-0.527310055,0.074671871,-1.576682341,0.296488371,-0.623434067
-0.627364233,-0.521923495,-0.853224162,-0.532643873,0.187357021,-1.586487041,0.421678422,-0.624088462
-0.628019638,0.443756213,-0.388368238,-0.529976964,0.170223606,-1.586519031,0.457447008,-0.661716142
-0.665705415,0.69155073,-0.343215696,-0.54331151,0.1089387,-1.602465664,0.499177024,-0.466052206
-0.469739375,0.18731864,-0.512518278,-0.537977692,0.12739007,-1.493254418,0.791287142,-0.508915041
-0.512668391,0.474478102,-0.380250636,-0.537977692,0.101030971,-1.221489877,0.803210004,-0.483720856
-0.487435305,0.648847035,-0.570845714,-0.553979148,0.156385079,-1.127937361,0.844940021,-0.569446527
-0.573293336,1.283613496,-0.396563645,-0.564646785,0.19790066,-1.111638847,0.850901452,-0.620489292
-0.624414912,0.832424457,-0.436269873,-0.593982787,0.20317248,-1.127857388,0.988014364,-0.551123482
-0.554942001,0.688481233,-0.520143118,-0.580648241,0.210421233,-1.15117754,1.011860088,-0.650264239
-0.654235831,0.570574878,-0.350114362,-0.596649697,0.166269741,-1.142860339,1.226471603,-0.750713785
-0.75484047,0.533067786,-0.495790311,-0.599316606,0.232826467,-1.142860339,0.952245778,-0.615908531
-0.619827078,0.32506902,-0.292487166,-0.636653336,0.220305895,-1.142860339,1.107242984,-0.631286801
-0.635229091,-0.516807668,-0.649376385,-0.66065552,0.184062133,-1.143548108,1.262240189,-0.700325413
-0.704374299,-0.477442724,-0.400064847,-0.677990431,0.268411251,-1.157495414,1.351661654,-0.73828029
-0.742387778,-0.139044213,-0.260016756,-0.66065552,0.309267855,-1.177600648,1.125127277,-0.774271984
-0.778435043,-0.369094887,-0.413161937,-0.688658068,0.314539675,-1.147626735,0.976091502,-0.849854541
-0.854134299,0.176871582,-0.269223621,-0.707326433,0.243370107,-1.097163718,1.029744381,-0.81353565
-0.817759332,-0.124692972,-0.535003777,-0.728661708,0.331014112,-1.045948954,0.904554331,-0.895989349
-0.900340339,0.42337368,-0.403410441,-0.749996982,0.390322085,-1.05549774,0.922438623,-0.93459862
-0.939009223,0.826420091,-0.389120348,-0.749730291,0.521458604,-1.042286186,0.833017159,-1.005927614
-1.010448348,0.167339988,-0.568848732,-0.779066294,0.479284045,-1.056729326,0.904554331,-1.012471558
-1.017002396,0.582125877,-0.32729171,-0.781466512,0.541886906,-1.07597085,0.683981385,-1.025886644
-1.030438195,0.464623403,-0.470088893,-0.79213415,0.595264082,-1.094268692,0.46936987,-1.111939512
-1.116623928,0.282473027,-0.32106735,-0.798534732,0.555066456,-1.102281996,0.499177024,-1.199301169
-1.204120471,-0.627928821,-0.71859645,-0.813469424,0.507620077,-1.102281996,0.368025543,-1.182614111
-1.187407648,-0.006490437,-0.256178401,-0.828137425,0.524094514,-1.102266001,0.195144045,-1.220896185
-1.22574883,-0.040954957,-0.191782214,-0.841738663,0.434473576,-1.110999062,0.147452597,-1.166908644
-1.171677932,0.209316697,-0.273450999,-0.842272045,0.348147526,-1.157079554,0.260719786,-1.119137851
-1.123833381,0.22207934,-0.112084476,-0.853473064,0.147159394,-1.229199283,0.087838287,-1.100487609
-1.105154344,-0.145883267,-0.546337298,-0.868941138,0.120800295,-1.238620112,0.242835493,-1.151530375
-1.156275919,0.647581541,-0.06379382,-0.899343904,0.199877593,-1.238620112,0.564752765,-1.12862657
-1.133336751,0.923136152,-0.070433136,-0.912678451,0.325083314,-1.238620112,0.636289937,-1.143350445
-1.148083359,0.091868074,-0.174379942,-0.917745578,0.228872602,-1.238572129,0.65417423,-1.104413976
-1.109086773,0.489098597,0.052186748,-0.938547471,0.219646917,-1.238588123,0.749557125,-1.090017298
-1.094667867,0.245612145,-0.006711255,-0.945748126,0.217011007,-1.238620112,0.743595694,-1.097542834
-1.102205022,-0.231425283,0.101073906,-0.944414671,0.149136327,-1.238620112,0.749557125,-1.066786296
-1.071400996,-0.947102591,-0.34806551,-0.954548927,0.058197434,-1.238620112,0.701865678,-1.04519128
-1.049772637,-0.051805896,0.207847608,-0.98708522,-0.044603053,-1.238556134,0.683981385,-0.992512528
-0.997012549,-0.624724698,0.200274637,-0.976950965,-0.048556918,-1.238572129,0.844940021,-0.931653846
-0.936059901,-0.254258028,-0.024995311,-0.996952785,-0.099298184,-1.238556134,0.886670038,-0.894353363
-0.898701827,0.439232744,0.1488718,-0.993485803,-0.091390454,-1.238412182,0.976091502,-0.944414537
-0.948840295,0.128405851,-0.00432525,-1.002286604,-0.125657283,-1.238332209,1.08339726,-0.939506579
-0.943924759,0.183468307,0.05257577,-1.016687914,-0.140813765,-1.238252236,1.137050138,-0.948995298
-0.953428129,-0.186432929,0.102422517,-1.025488715,-0.142790698,-1.238220247,1.08339726,-0.962083187
-0.966536225,0.06281556,-0.038637033,-1.039623334,-0.221209018,-1.238172263,1.250317327,-0.911040421
-0.91541465,0.21012446,0.154577463,-1.063358827,-0.287765744,-1.238108285,1.381468808,-0.947686509
