Oil_Price,Imports,Production,GDP,SP500,Stock_value,Treasury_note, Y_n_1,Y_n_2
0.839436114,-0.203404967,-0.673808118,0.532892698,-0.209620102,1.368508474,-0.468318645,0.956267137,0.883464377
0.954779583,0.039595757,-0.863932074,0.554285074,0.233144229,1.360714688,-0.588046905,0.882000147,0.677337267
0.880396153,0.130235217,-0.614313371,0.556959121,1.128541337,1.343942845,-0.588046905,0.675557544,0.730910715
0.673629877,0.45863,-0.725914629,0.506152229,3.837759039,1.344022863,-0.588046905,0.729212991,0.505510231
0.727369448,0.339480556,-0.701002014,0.508826276,4.472629142,1.328115218,-0.474305058,0.503467514,0.684850616
0.501270033,0.575279044,-0.716167342,0.482085806,5.059472802,1.328147226,-0.492264297,0.683082394,0.338256538
0.681166524,0.361739542,-0.952590913,0.490107947,6.47066075,1.32821124,-0.396481689,0.335957828,0.031842547
0.333497714,0.325375045,-0.727755207,0.490107947,6.497634506,1.289802439,-0.647911035,0.029074846,-0.024017573
0.026133583,0.556444518,-0.941988146,0.484759853,6.242370672,1.243199761,-0.863421903,-0.026870772,-0.313118195
-0.029899751,0.814909665,-0.858747346,0.4874339,5.618684809,1.14740181,-0.935258859,-0.316413883,-0.227531344
-0.319896826,-0.181635189,-1.245735404,0.500804135,3.914075031,1.03123119,-0.905326794,-0.230696035,-0.246804719
-0.234044584,1.152137379,-0.916142279,0.508826276,3.022625301,1.003144755,-1.114851249,-0.249998909,0.282069751
-0.253377723,0.849344507,-0.94351764,0.498130088,2.237754801,0.971729556,-1.186688205,0.279685042,0.912537772
0.277136701,1.020947971,-1.09960386,0.570329356,0.659461147,0.971809575,-0.510223536,0.911118042,1.810873036
0.9095597,1.411553765,-1.238502709,0.562307215,0.148275583,0.971857586,-0.336617559,1.810828274,2.221167251
1.810680555,-0.199708725,-1.95736517,0.602417919,0.099591243,0.9815238,-0.414440928,2.221750475,2.766701756
2.222247025,1.611803103,-1.029713734,0.623810295,0.12261762,1.057973318,-0.300699081,2.768119961,2.783361792
2.769473145,1.449902274,-0.886589333,0.639854577,0.026564734,1.058021329,-0.222875712,2.784805497,2.506347864
2.78618484,1.081256505,-1.051956215,0.663920999,0.075249074,1.037856709,-0.168997995,2.507367578,2.087560297
